RPC4O,8970.0,8970.0,8970.0,8972.5,75617.1,2020-05-21 11:50:02.230990
SA24D,31.6,31.6,31.6,31.6,0.0,2020-05-21 11:50:02.230990
SARH,1060.0,0.0,0.0,1060.0,0.0,2020-05-21 11:50:02.230990
SUC1P,100.0,0.0,0.0,100.0,0.0,2020-05-21 11:50:02.230990
T2X1,93.5,93.5,93.5,93.5,0.0,2020-05-21 11:50:02.230990
T2X2,77.0,77.4,75.5,77.65,4184835.43,2020-05-21 11:50:02.230990
TB21,90.5,91.0,89.99,90.5,0.0,2020-05-21 11:50:02.230990
TC21,307.0,309.0,307.0,306.75,406222.21,2020-05-21 11:50:02.230990
TC23,194.0,195.5,190.0,194.0,0.0,2020-05-21 11:50:02.230990
TC25P,150.0,150.0,149.0,150.0,0.0,2020-05-21 11:50:02.230990
TD21,95.75,95.75,94.9,95.75,0.0,2020-05-21 11:50:02.230990
TFU27,5891.0,0.0,0.0,5891.0,0.0,2020-05-21 11:50:02.230990
TJ20,99.05,99.99,99.0,98.8,3211954.35,2020-05-21 11:50:02.230990
TN20,112.5,113.0,112.3,112.5,0.0,2020-05-21 11:50:02.230990
TO21,69.5,71.58,69.5,70.0,520619.26,2020-05-21 11:50:02.230990
TO23,50.05,51.0,50.05,50.15,15009.53,2020-05-21 11:50:02.230990
TO26,43.0,43.0,43.0,43.25,2236.0,2020-05-21 11:50:02.230990
TV21,7350.0,7350.0,7350.0,7350.0,0.0,2020-05-21 11:50:02.230990
TVPA,74.0,74.0,71.5,74.0,0.0,2020-05-21 11:50:02.230990
TVPE,125.0,127.0,127.0,125.0,0.0,2020-05-21 11:50:02.230990
TVPP,1.56,1.59,1.55,1.55,24808.25,2020-05-21 11:50:02.230990
TVPY,75.0,86.0,75.0,75.0,0.0,2020-05-21 11:50:02.230990
TVPYD,8.8,0.75,0.73,8.8,0.0,2020-05-21 11:50:02.230990
TVY0,100.0,100.0,100.0,100.0,0.0,2020-05-21 11:50:02.230990
TX21,97.3,97.3,97.0,97.3,1243290.85,2020-05-21 11:50:02.230990
TX22,86.97,86.97,86.97,87.0,30439.5,2020-05-21 11:50:02.230990
TX23,75.5,77.0,75.5,77.5,2776076.68,2020-05-21 11:50:02.230990
TX24,69.0,69.5,69.0,70.35,8872674.69,2020-05-21 11:50:02.230990
VSC1O,100.0,0.0,0.0,100.0,0.0,2020-05-21 11:50:02.230990
VSC2O,100.0,0.0,0.0,100.0,0.0,2020-05-21 11:50:02.230990
VSC3O,6690.0,6690.0,6690.0,6600.0,66.9,2020-05-21 11:50:02.230990
YMC9O,100.0,0.0,0.0,100.0,0.0,2020-05-21 11:50:02.230990
YPCUO,7999.0,8000.0,7995.0,7999.0,0.0,2020-05-21 11:50:02.230990
53619,100.0,0.0,0.0,100.0,0.0,2020-05-21 12:00:01.774491
A2E2,4750.0,4750.0,4750.0,4750.0,0.0,2020-05-21 12:00:01.774491
A2E2D,40.5,43.0,40.5,40.5,0.0,2020-05-21 12:00:01.774491
A2E3,3350.0,0.0,0.0,3350.0,0.0,2020-05-21 12:00:01.774491
A2E3D,29.1,29.1,29.1,29.1,0.0,2020-05-21 12:00:01.774491
A2E7,4100.0,4300.0,4100.0,4100.0,0.0,2020-05-21 12:00:01.774491
A2E7D,36.5,37.4,36.5,36.5,0.0,2020-05-21 12:00:01.774491
A2E8,3500.0,3500.0,3500.0,3500.0,0.0,2020-05-21 12:00:01.774491
A2E8D,36.0,36.0,36.0,36.0,0.0,2020-05-21 12:00:01.774491
A2J9D,103.05,103.05,102.7,103.05,0.0,2020-05-21 12:00:01.774491
A2M2,199.5,210.0,192.0,199.5,0.0,2020-05-21 12:00:01.774491
AA21,4364.0,4382.5,4364.0,4364.0,0.0,2020-05-21 12:00:01.774491
AA21D,52.0,0.0,0.0,52.0,0.0,2020-05-21 12:00:01.774491
AA22,83.0,83.0,82.0,82.75,20795.64,2020-05-21 12:00:01.774491
AA25,3649.0,3659.0,3640.5,3650.0,88014.64,2020-05-21 12:00:01.774491
AA25D,31.65,32.0,31.55,31.55,754.91,2020-05-21 12:00:01.774491
AA26,2830.0,0.0,0.0,2830.0,0.0,2020-05-21 12:00:01.774491
